Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,St. Lucia,LCA,41633,41826,42022,42247,42515,42810,43104,43352,43532,43458,41966,40479,39052,37723,36496,35346,34225,33089,32120,32387,32593,32769,32955,33166,33410,33679,33973
Urban population,SP.URB.TOTL,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,St. Vincent and the Grenadines,VCT,45666,46091,46488,46869,47233,47582,47932,48303,48705,49143,49631,50135,50631,51085,51490,51864,52228,52597,53005,53460,53951,54479,55041,55620,56236,56872,57527
Urban population,SP.URB.TOTL,Sudan,SDN,6748182,7237518,7510085,7766217,8000745,8218097,8426426,8638173,8863017,9104026,9358047,9620037,9882155,10139061,10389194,10635641,10883299,11146282,11430600,11738567,12069178,12421901,12794293,13185765,13596343,14027565,14480887
Urban population,SP.URB.TOTL,Suriname,SUR,277020,282190,287174,291957,296489,300762,304859,308877,312914,317003,321120,325279,329467,333051,336600,340176,343778,347410,351043,354694,358349,361981,365656,369343,373049,376765,380497
Urban population,SP.URB.TOTL,Sweden,SWE,7225787,7281393,7346937,7399093,7418835,7425561,7432163,7440437,7454878,7478923,7508835,7542470,7577769,7613645,7666670,7738188,7813274,7894625,7976659,8059895,8150488,8250182,8362604,8481489,8618398,8764881,8896291
Urban population,SP.URB.TOTL,Switzerland,CHE,5075050,5117803,5154986,5185748,5204882,5213607,5225282,5246404,5272018,5304905,5347082,5388808,5427827,5464643,5500991,5552336,5625324,5697988,5759681,5825978,5889928,5959745,6034707,6105617,6174416,6234162,6283319
Urban population,SP.URB.TOTL,Syrian Arab Republic,SYR,6507719,6722172,6942320,7187665,7446861,7715278,7988549,8259697,8524943,8771256,9000524,9238597,9523090,9875009,10319825,10835837,11339390,11713488,11877573,11506454,10946032,10284372,9636016,9388889,9227932,9146183,9177784
Urban population,SP.URB.TOTL,Tajikistan,TJK,1679745,1676429,1670868,1664703,1658157,1651233,1644273,1637622,1647389,1674595,1703440,1733969,1766067,1799848,1835317,1872596,1911783,1952985,1996266,2041456,2090376,2143015,2199791,2260774,2326257,2396074,2469424
Urban population,SP.URB.TOTL,Tanzania,TZA,5267141,5540351,5816979,6090820,6359252,6624426,6892435,7172771,7473331,7796647,8142549,8579713,9054501,9552983,10076209,10626393,11206812,11819028,12467584,13153060,13877351,14639967,15439812,16277266,17152408,18066884,19020429
